region_raw,region,year,indicator,value,source_category_id
Kyrgyz Republic,Kyrgyz Republic,2023,avg_per_capita_income_som,9716.0,122
Kyrgyz Republic,Kyrgyz Republic,2022,avg_per_capita_income_som,7948.4,122
Kyrgyz Republic,Kyrgyz Republic,2021,avg_per_capita_income_som,6647.8,122
Kyrgyz Republic,Kyrgyz Republic,2020,avg_per_capita_income_som,5625.4,122
Kyrgyz Republic,Kyrgyz Republic,2019,avg_per_capita_income_som,5684.7,122
Batken oblast,Batken,2023,avg_per_capita_income_som,9877.4,122
Batken oblast,Batken,2022,avg_per_capita_income_som,7531.8,122
Batken oblast,Batken,2021,avg_per_capita_income_som,6205.4,122
Batken oblast,Batken,2020,avg_per_capita_income_som,5386.9,122
Batken oblast,Batken,2019,avg_per_capita_income_som,5346.5,122
Jalal-Abat oblast,Jalal-Abad,2023,avg_per_capita_income_som,10327.6,122
Jalal-Abat oblast,Jalal-Abad,2022,avg_per_capita_income_som,8253.9,122
Jalal-Abat oblast,Jalal-Abad,2021,avg_per_capita_income_som,6672.2,122
Jalal-Abat oblast,Jalal-Abad,2020,avg_per_capita_income_som,5415.0,122
Jalal-Abat oblast,Jalal-Abad,2019,avg_per_capita_income_som,5293.2,122
Yssyk-Kul oblast,Issyk-Kul,2023,avg_per_capita_income_som,10105.3,122
Yssyk-Kul oblast,Issyk-Kul,2022,avg_per_capita_income_som,9114.5,122
Yssyk-Kul oblast,Issyk-Kul,2021,avg_per_capita_income_som,7173.2,122
Yssyk-Kul oblast,Issyk-Kul,2020,avg_per_capita_income_som,6433.8,122
Yssyk-Kul oblast,Issyk-Kul,2019,avg_per_capita_income_som,5719.5,122
Naryn oblast,Naryn,2023,avg_per_capita_income_som,8290.5,122
Naryn oblast,Naryn,2022,avg_per_capita_income_som,7096.2,122
Naryn oblast,Naryn,2021,avg_per_capita_income_som,5808.8,122
Naryn oblast,Naryn,2020,avg_per_capita_income_som,4588.5,122
Naryn oblast,Naryn,2019,avg_per_capita_income_som,4663.7,122
Osh oblast  (until 2013 y. including Osh city),Osh,2023,avg_per_capita_income_som,9512.8,122
Osh oblast  (until 2013 y. including Osh city),Osh,2022,avg_per_capita_income_som,7828.4,122
Osh oblast  (until 2013 y. including Osh city),Osh,2021,avg_per_capita_income_som,6922.4,122
Osh oblast  (until 2013 y. including Osh city),Osh,2020,avg_per_capita_income_som,5700.5,122
Osh oblast  (until 2013 y. including Osh city),Osh,2019,avg_per_capita_income_som,5914.4,122
Talas oblast,Talas,2023,avg_per_capita_income_som,8406.2,122
Talas oblast,Talas,2022,avg_per_capita_income_som,6986.7,122
Talas oblast,Talas,2021,avg_per_capita_income_som,5732.5,122
Talas oblast,Talas,2020,avg_per_capita_income_som,5262.9,122
Talas oblast,Talas,2019,avg_per_capita_income_som,4834.5,122
Chui oblast,Chuy,2023,avg_per_capita_income_som,9298.0,122
Chui oblast,Chuy,2022,avg_per_capita_income_som,7975.8,122
Chui oblast,Chuy,2021,avg_per_capita_income_som,6755.1,122
Chui oblast,Chuy,2020,avg_per_capita_income_som,5774.7,122
Chui oblast,Chuy,2019,avg_per_capita_income_som,6116.3,122
Bishkek city,Bishkek,2023,avg_per_capita_income_som,10767.1,122
Bishkek city,Bishkek,2022,avg_per_capita_income_som,8484.1,122
Bishkek city,Bishkek,2021,avg_per_capita_income_som,6946.2,122
Bishkek city,Bishkek,2020,avg_per_capita_income_som,6012.9,122
Bishkek city,Bishkek,2019,avg_per_capita_income_som,6340.8,122
Osh city,Osh city,2023,avg_per_capita_income_som,7581.1,122
Osh city,Osh city,2022,avg_per_capita_income_som,5919.1,122
Osh city,Osh city,2021,avg_per_capita_income_som,5523.1,122
Osh city,Osh city,2020,avg_per_capita_income_som,4770.0,122
Osh city,Osh city,2019,avg_per_capita_income_som,4892.3,122
Kyrgyz Republic,Kyrgyz Republic,2023,avg_per_capita_expenditure_som,6291.5,121
Kyrgyz Republic,Kyrgyz Republic,2022,avg_per_capita_expenditure_som,5393.1,121
Kyrgyz Republic,Kyrgyz Republic,2021,avg_per_capita_expenditure_som,4681.5,121
Kyrgyz Republic,Kyrgyz Republic,2020,avg_per_capita_expenditure_som,3913.6,121
Kyrgyz Republic,Kyrgyz Republic,2019,avg_per_capita_expenditure_som,3899.0,121
Batken oblast,Batken,2023,avg_per_capita_expenditure_som,4997.8,121
Batken oblast,Batken,2022,avg_per_capita_expenditure_som,4157.4,121
Batken oblast,Batken,2021,avg_per_capita_expenditure_som,3611.6,121
Batken oblast,Batken,2020,avg_per_capita_expenditure_som,3110.6,121
Batken oblast,Batken,2019,avg_per_capita_expenditure_som,3114.2,121
Jalal-Abat oblast,Jalal-Abad,2023,avg_per_capita_expenditure_som,5185.7,121
Jalal-Abat oblast,Jalal-Abad,2022,avg_per_capita_expenditure_som,4213.3,121
Jalal-Abat oblast,Jalal-Abad,2021,avg_per_capita_expenditure_som,3434.5,121
Jalal-Abat oblast,Jalal-Abad,2020,avg_per_capita_expenditure_som,2910.9,121
Jalal-Abat oblast,Jalal-Abad,2019,avg_per_capita_expenditure_som,2981.3,121
Yssyk-Kul oblast,Issyk-Kul,2023,avg_per_capita_expenditure_som,7160.4,121
Yssyk-Kul oblast,Issyk-Kul,2022,avg_per_capita_expenditure_som,6806.1,121
Yssyk-Kul oblast,Issyk-Kul,2021,avg_per_capita_expenditure_som,5866.7,121
Yssyk-Kul oblast,Issyk-Kul,2020,avg_per_capita_expenditure_som,4810.2,121
Yssyk-Kul oblast,Issyk-Kul,2019,avg_per_capita_expenditure_som,4242.7,121
Naryn oblast,Naryn,2023,avg_per_capita_expenditure_som,6547.5,121
Naryn oblast,Naryn,2022,avg_per_capita_expenditure_som,5661.3,121
Naryn oblast,Naryn,2021,avg_per_capita_expenditure_som,4648.9,121
Naryn oblast,Naryn,2020,avg_per_capita_expenditure_som,3829.0,121
Naryn oblast,Naryn,2019,avg_per_capita_expenditure_som,3969.7,121
Osh oblast  (until 2013 y. including Osh city),Osh,2023,avg_per_capita_expenditure_som,6013.1,121
Osh oblast  (until 2013 y. including Osh city),Osh,2022,avg_per_capita_expenditure_som,5518.6,121
Osh oblast  (until 2013 y. including Osh city),Osh,2021,avg_per_capita_expenditure_som,4922.2,121
Osh oblast  (until 2013 y. including Osh city),Osh,2020,avg_per_capita_expenditure_som,3796.6,121
Osh oblast  (until 2013 y. including Osh city),Osh,2019,avg_per_capita_expenditure_som,3891.8,121
Talas oblast,Talas,2023,avg_per_capita_expenditure_som,5397.4,121
Talas oblast,Talas,2022,avg_per_capita_expenditure_som,4367.1,121
Talas oblast,Talas,2021,avg_per_capita_expenditure_som,3637.1,121
Talas oblast,Talas,2020,avg_per_capita_expenditure_som,3166.3,121
Talas oblast,Talas,2019,avg_per_capita_expenditure_som,3130.0,121
Chui oblast,Chuy,2023,avg_per_capita_expenditure_som,6381.5,121
Chui oblast,Chuy,2022,avg_per_capita_expenditure_som,5992.5,121
Chui oblast,Chuy,2021,avg_per_capita_expenditure_som,5341.9,121
Chui oblast,Chuy,2020,avg_per_capita_expenditure_som,4553.3,121
Chui oblast,Chuy,2019,avg_per_capita_expenditure_som,4358.6,121
Bishkek city,Bishkek,2023,avg_per_capita_expenditure_som,7434.0,121
Bishkek city,Bishkek,2022,avg_per_capita_expenditure_som,6167.5,121
Bishkek city,Bishkek,2021,avg_per_capita_expenditure_som,5374.1,121
Bishkek city,Bishkek,2020,avg_per_capita_expenditure_som,4791.6,121
Bishkek city,Bishkek,2019,avg_per_capita_expenditure_som,4873.2,121
Osh city,Osh city,2023,avg_per_capita_expenditure_som,8778.7,121
Osh city,Osh city,2022,avg_per_capita_expenditure_som,5331.3,121
Osh city,Osh city,2021,avg_per_capita_expenditure_som,5099.4,121
Osh city,Osh city,2020,avg_per_capita_expenditure_som,4149.9,121
Osh city,Osh city,2019,avg_per_capita_expenditure_som,4268.2,121
Kyrgyz Republic,Kyrgyz Republic,2023,poverty_rate_pct,29.8,120
